timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767714502.0596328,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714502.3975492,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714503.834547,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714503.8347142,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714505.1686091,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714505.1686342,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714506.50032,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714506.500374,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714507.998639,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714507.998712,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714509.333371,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714509.334145,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714510.684167,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714510.684513,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714512.018792,eth-updown-15m-1767714300,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767714512.019073,eth-updown-15m-1767714300,UP,0.51,0.5,0.505,-0.010000000000000009
1767714513.621841,eth-updown-15m-1767714300,UP,0.5,0.49,0.495,-0.010000000000000009
1767714513.622157,eth-updown-15m-1767714300,DOWN,0.51,0.5,0.505,-0.010000000000000009
1767714515.247267,eth-updown-15m-1767714300,UP,0.51,0.5,0.505,-0.010000000000000009
1767714515.247754,eth-updown-15m-1767714300,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767714516.600974,eth-updown-15m-1767714300,UP,0.51,0.5,0.505,-0.010000000000000009
1767714516.60156,eth-updown-15m-1767714300,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767714517.9339788,eth-updown-15m-1767714300,DOWN,0.5,0.48,0.49,-0.020000000000000018
1767714517.9342542,eth-updown-15m-1767714300,UP,0.52,0.5,0.51,-0.020000000000000018
1767714519.2793229,eth-updown-15m-1767714300,UP,0.53,0.52,0.525,-0.010000000000000009
1767714519.279555,eth-updown-15m-1767714300,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767714520.7691772,eth-updown-15m-1767714300,UP,0.55,0.54,0.545,-0.010000000000000009
1767714520.769603,eth-updown-15m-1767714300,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767714522.1482098,eth-updown-15m-1767714300,UP,0.55,0.54,0.545,-0.010000000000000009
1767714522.148417,eth-updown-15m-1767714300,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767714523.752819,eth-updown-15m-1767714300,UP,0.56,0.55,0.555,-0.010000000000000009
1767714523.752952,eth-updown-15m-1767714300,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767714525.090519,eth-updown-15m-1767714300,UP,0.56,0.55,0.555,-0.010000000000000009
1767714525.0906188,eth-updown-15m-1767714300,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767714526.426529,eth-updown-15m-1767714300,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767714526.426968,eth-updown-15m-1767714300,UP,0.56,0.55,0.555,-0.010000000000000009
1767714527.7837608,eth-updown-15m-1767714300,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767714527.783902,eth-updown-15m-1767714300,UP,0.56,0.55,0.555,-0.010000000000000009
1767714529.121648,eth-updown-15m-1767714300,UP,0.57,0.56,0.565,-0.009999999999999898
1767714529.12179,eth-updown-15m-1767714300,DOWN,0.44,0.43,0.435,-0.010000000000000009
1767714530.47419,eth-updown-15m-1767714300,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767714530.474432,eth-updown-15m-1767714300,UP,0.56,0.55,0.555,-0.010000000000000009
1767714531.8812082,eth-updown-15m-1767714300,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767714531.881449,eth-updown-15m-1767714300,UP,0.56,0.55,0.555,-0.010000000000000009
1767714533.2168908,eth-updown-15m-1767714300,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767714533.2171252,eth-updown-15m-1767714300,UP,0.55,0.54,0.545,-0.010000000000000009
1767714534.5777001,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714534.577865,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714535.9399838,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714535.940096,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714537.27047,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714537.270873,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714538.608258,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714538.608453,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714540.028407,eth-updown-15m-1767714300,UP,0.53,0.51,0.52,-0.020000000000000018
1767714540.02861,eth-updown-15m-1767714300,DOWN,0.49,0.47,0.48,-0.020000000000000018
1767714541.367167,eth-updown-15m-1767714300,UP,0.52,0.51,0.515,-0.010000000000000009
1767714541.3672519,eth-updown-15m-1767714300,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767714542.710641,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714542.720553,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714544.060568,eth-updown-15m-1767714300,UP,0.55,0.54,0.545,-0.010000000000000009
1767714544.060697,eth-updown-15m-1767714300,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767714545.3989172,eth-updown-15m-1767714300,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767714545.3990998,eth-updown-15m-1767714300,UP,0.56,0.55,0.555,-0.010000000000000009
1767714546.734692,eth-updown-15m-1767714300,DOWN,0.44,0.42,0.43,-0.020000000000000018
1767714546.7348979,eth-updown-15m-1767714300,UP,0.58,0.56,0.5700000000000001,-0.019999999999999907
1767714548.080914,eth-updown-15m-1767714300,UP,0.58,0.57,0.575,-0.010000000000000009
1767714548.0809972,eth-updown-15m-1767714300,DOWN,0.43,0.42,0.425,-0.010000000000000009
1767714549.4350998,eth-updown-15m-1767714300,UP,0.58,0.57,0.575,-0.010000000000000009
1767714549.4351559,eth-updown-15m-1767714300,DOWN,0.43,0.42,0.425,-0.010000000000000009
1767714550.9938471,eth-updown-15m-1767714300,DOWN,0.44,0.43,0.435,-0.010000000000000009
1767714550.993966,eth-updown-15m-1767714300,UP,0.57,0.56,0.565,-0.009999999999999898
1767714553.054107,eth-updown-15m-1767714300,UP,0.53,0.52,0.525,-0.010000000000000009
1767714553.0543082,eth-updown-15m-1767714300,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767714554.417851,eth-updown-15m-1767714300,UP,0.54,0.52,0.53,-0.020000000000000018
1767714554.418241,eth-updown-15m-1767714300,DOWN,0.48,0.46,0.47,-0.019999999999999962
1767714555.7509491,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714555.7510688,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714557.085381,eth-updown-15m-1767714300,UP,0.53,0.51,0.52,-0.020000000000000018
1767714557.085511,eth-updown-15m-1767714300,DOWN,0.49,0.47,0.48,-0.020000000000000018
1767714558.667304,eth-updown-15m-1767714300,UP,0.53,0.52,0.525,-0.010000000000000009
1767714558.6676428,eth-updown-15m-1767714300,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767714560.017612,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714560.0179121,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714561.351386,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714561.3517928,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714562.684206,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714562.684469,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714564.0534232,eth-updown-15m-1767714300,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767714564.053714,eth-updown-15m-1767714300,UP,0.53,0.52,0.525,-0.010000000000000009
1767714565.392818,eth-updown-15m-1767714300,UP,0.49,0.48,0.485,-0.010000000000000009
1767714566.241757,eth-updown-15m-1767714300,DOWN,0.52,0.51,0.515,-0.010000000000000009
1767714566.753063,eth-updown-15m-1767714300,UP,0.48,0.47,0.475,-0.010000000000000009
1767714567.619228,eth-updown-15m-1767714300,DOWN,0.53,0.52,0.525,-0.010000000000000009
1767714568.107554,eth-updown-15m-1767714300,UP,0.48,0.47,0.475,-0.010000000000000009
1767714568.956692,eth-updown-15m-1767714300,DOWN,0.53,0.52,0.525,-0.010000000000000009
1767714569.46585,eth-updown-15m-1767714300,UP,0.48,0.47,0.475,-0.010000000000000009
1767714570.79697,eth-updown-15m-1767714300,DOWN,0.53,0.52,0.525,-0.010000000000000009
1767714570.797853,eth-updown-15m-1767714300,UP,0.48,0.47,0.475,-0.010000000000000009
1767714572.1305852,eth-updown-15m-1767714300,DOWN,0.52,0.51,0.515,-0.010000000000000009
1767714572.1306171,eth-updown-15m-1767714300,UP,0.49,0.48,0.485,-0.010000000000000009
1767714573.564003,eth-updown-15m-1767714300,UP,0.51,0.5,0.505,-0.010000000000000009
1767714573.5640519,eth-updown-15m-1767714300,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767714575.02686,eth-updown-15m-1767714300,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767714575.026922,eth-updown-15m-1767714300,UP,0.51,0.5,0.505,-0.010000000000000009
1767714576.361959,eth-updown-15m-1767714300,UP,0.53,0.52,0.525,-0.010000000000000009
1767714576.362388,eth-updown-15m-1767714300,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767714577.704064,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714577.704376,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714579.038008,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714579.038464,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
1767714580.4200058,eth-updown-15m-1767714300,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767714580.434985,eth-updown-15m-1767714300,UP,0.54,0.53,0.535,-0.010000000000000009
