timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767715221.74077,btc-updown-15m-1767715200,UP,0.56,0.54,0.55,-0.020000000000000018
1767715223.08255,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715223.082655,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715224.437458,btc-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715224.437771,btc-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715225.799065,btc-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715225.799454,btc-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715227.1660008,btc-updown-15m-1767715200,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767715227.166122,btc-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
1767715228.817736,btc-updown-15m-1767715200,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767715228.817808,btc-updown-15m-1767715200,UP,0.53,0.52,0.525,-0.010000000000000009
1767715230.1691048,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715230.169464,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715231.611202,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715231.6113222,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715233.110393,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715233.1106079,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715234.4803479,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715234.480374,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715235.943778,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715235.94466,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715237.294564,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715237.2948549,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715238.6393971,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715238.639633,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715240.2319732,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715240.232181,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715241.5931299,btc-updown-15m-1767715200,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767715241.593329,btc-updown-15m-1767715200,UP,0.54,0.53,0.535,-0.010000000000000009
1767715242.9246552,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715242.92482,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715244.290625,btc-updown-15m-1767715200,UP,0.55,0.53,0.54,-0.020000000000000018
1767715244.29107,btc-updown-15m-1767715200,DOWN,0.47,0.45,0.45999999999999996,-0.019999999999999962
1767715245.727166,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715245.7273269,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715247.093442,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715247.125121,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715248.473761,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715248.474014,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715249.805505,btc-updown-15m-1767715200,DOWN,0.42,0.41,0.415,-0.010000000000000009
1767715249.8381839,btc-updown-15m-1767715200,UP,0.59,0.58,0.585,-0.010000000000000009
1767715251.1790771,btc-updown-15m-1767715200,DOWN,0.41,0.4,0.405,-0.009999999999999953
1767715251.179171,btc-updown-15m-1767715200,UP,0.6,0.59,0.595,-0.010000000000000009
1767715252.574094,btc-updown-15m-1767715200,UP,0.57,0.56,0.565,-0.009999999999999898
1767715252.574807,btc-updown-15m-1767715200,DOWN,0.44,0.43,0.435,-0.010000000000000009
1767715253.934914,btc-updown-15m-1767715200,DOWN,0.43,0.42,0.425,-0.010000000000000009
1767715253.9351811,btc-updown-15m-1767715200,UP,0.58,0.57,0.575,-0.010000000000000009
1767715255.272796,btc-updown-15m-1767715200,UP,0.59,0.58,0.585,-0.010000000000000009
1767715255.273122,btc-updown-15m-1767715200,DOWN,0.42,0.41,0.415,-0.010000000000000009
1767715256.610338,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715256.610558,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715258.253406,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715258.2537758,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715259.5878222,btc-updown-15m-1767715200,UP,0.63,0.61,0.62,-0.020000000000000018
1767715259.5883992,btc-updown-15m-1767715200,DOWN,0.39,0.37,0.38,-0.020000000000000018
1767715260.9393642,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715260.939747,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715262.4646468,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715262.465012,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715264.089878,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715264.090358,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715265.431675,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715265.431909,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715266.771313,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715266.786818,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715268.1784132,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715268.1787379,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715269.5309188,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715269.5317152,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715270.983031,btc-updown-15m-1767715200,DOWN,0.37,0.36,0.365,-0.010000000000000009
1767715270.9832199,btc-updown-15m-1767715200,UP,0.64,0.63,0.635,-0.010000000000000009
