timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767714362.356121,btc-updown-15m-1767714300,UP,0.37,0.36,0.365,-0.010000000000000009
1767714363.239876,btc-updown-15m-1767714300,DOWN,0.63,0.62,0.625,-0.010000000000000009
1767714373.051471,btc-updown-15m-1767714300,UP,0.42,0.41,0.415,-0.010000000000000009
1767714373.678397,btc-updown-15m-1767714300,DOWN,0.59,0.58,0.585,-0.010000000000000009
1767714384.0042958,btc-updown-15m-1767714300,UP,0.42,0.41,0.415,-0.010000000000000009
1767714384.005142,btc-updown-15m-1767714300,DOWN,0.59,0.58,0.585,-0.010000000000000009
1767714395.10254,btc-updown-15m-1767714300,DOWN,0.56,0.55,0.555,-0.010000000000000009
1767714395.120629,btc-updown-15m-1767714300,UP,0.45,0.44,0.445,-0.010000000000000009
1767714405.811541,btc-updown-15m-1767714300,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767714405.8520472,btc-updown-15m-1767714300,UP,0.51,0.5,0.505,-0.010000000000000009
